Account,Sample- Joint,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
31-Dec-24,02-Jan-25,Interest,22,,600,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 12/31/24                 REINVESTED @ $1.00,,
31-Dec-24,02-Jan-25,Interest,22,,526,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 12/31/24                 REINVESTED @ $1.00,,
31-Dec-24,02-Jan-25,Stock Div,22,,378,,F018526,FOR210,FORGE FIRST CONS ALT NL F,,,,,0,,DIV C5,,,,AS OF 12/31/24                 REINVESTED DIVIDENDS @$18.2889,,
31-Dec-24,02-Jan-25,Stock Div,22,,413,,F018563,,1000THS FORGE FIRST CONSERVIVE,,,,,0,,DIV C5,,,,AS OF 12/31/24                 REINVESTED DIVIDENDS @$18.2889,,
24-Dec-24,,Reinvested,22,,1,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
24-Dec-24,,Reinvested,22,,-1000,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
24-Dec-24,,Reinvested,22,,-1000,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
24-Dec-24,,Reinvested,22,,1,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
